日付,受注ID,顧客名,商品名,カテゴリ,数量,単価,売上金額,担当者
2025-02-23,SO-00232,Example Corp,オンラインストレージ,Cloud,14,8000,112000,担当A
2025-02-24,SO-00238,Example Corp,ログ分析サービス,Analytics,17,18000,306000,担当B
2025-02-24,SO-00009,デモ株式会社,ID管理サービス,Security,22,15000,330000,担当B
2025-02-25,SO-00021,Dummy Solutions,デバイス管理ツール,IT管理,23,30000,690000,担当D
2025-02-26,SO-00268,サンプル株式会社B,デバイス管理ツール,IT管理,18,30000,540000,担当D
2025-02-27,SO-00065,Sample Systems,ID管理サービス,Security,5,15000,75000,担当E
2025-02-27,SO-00006,サンプル株式会社A,ID管理サービス,Security,19,15000,285000,担当D
2025-02-27,SO-00250,テストコーポレーション,オンラインストレージ,Cloud,13,8000,104000,担当C
2025-02-28,SO-00279,サンプル株式会社C,セキュリティソフトウェア,Security,12,12000,144000,担当E
2025-02-28,SO-00113,サンプル株式会社A,オンラインストレージ,Cloud,1,8000,8000,担当C
